id,province,adcode,model,regYear,regMonth,forecastVolum
96,山西,140000,17bc272c93f19d56,2018,1,1935
97,广东,440000,17bc272c93f19d56,2018,1,1727
98,广西,450000,17bc272c93f19d56,2018,1,2795
99,江苏,320000,17bc272c93f19d56,2018,1,2224
100,江西,360000,17bc272c93f19d56,2018,1,1091
101,河北,130000,17bc272c93f19d56,2018,1,5836
102,河南,410000,17bc272c93f19d56,2018,1,4873
103,浙江,330000,17bc272c93f19d56,2018,1,1464
104,湖北,420000,17bc272c93f19d56,2018,1,1438
105,湖南,430000,17bc272c93f19d56,2018,1,1864
106,福建,350000,17bc272c93f19d56,2018,1,488
107,辽宁,210000,17bc272c93f19d56,2018,1,1057
108,重庆,500000,17bc272c93f19d56,2018,1,242
109,陕西,610000,17bc272c93f19d56,2018,1,2317
110,黑龙江,230000,17bc272c93f19d56,2018,1,750
111,上海,310000,2a2ab41f8f6ff1cb,2018,1,470
112,云南,530000,2a2ab41f8f6ff1cb,2018,1,661
113,内蒙古,150000,2a2ab41f8f6ff1cb,2018,1,608
114,北京,110000,2a2ab41f8f6ff1cb,2018,1,87
115,四川,510000,2a2ab41f8f6ff1cb,2018,1,1323
116,安徽,340000,2a2ab41f8f6ff1cb,2018,1,1282
117,山东,370000,2a2ab41f8f6ff1cb,2018,1,2707
118,山西,140000,2a2ab41f8f6ff1cb,2018,1,848
119,广东,440000,2a2ab41f8f6ff1cb,2018,1,5874
120,广西,450000,2a2ab41f8f6ff1cb,2018,1,660
121,江苏,320000,2a2ab41f8f6ff1cb,2018,1,2294
122,江西,360000,2a2ab41f8f6ff1cb,2018,1,1222
123,河北,130000,2a2ab41f8f6ff1cb,2018,1,3292
124,河南,410000,2a2ab41f8f6ff1cb,2018,1,3447
125,浙江,330000,2a2ab41f8f6ff1cb,2018,1,1669
126,湖北,420000,2a2ab41f8f6ff1cb,2018,1,1628
127,湖南,430000,2a2ab41f8f6ff1cb,2018,1,1985
128,福建,350000,2a2ab41f8f6ff1cb,2018,1,460
129,辽宁,210000,2a2ab41f8f6ff1cb,2018,1,495
130,重庆,500000,2a2ab41f8f6ff1cb,2018,1,851
131,陕西,610000,2a2ab41f8f6ff1cb,2018,1,701
132,黑龙江,230000,2a2ab41f8f6ff1cb,2018,1,556
133,上海,310000,c06a2a387c0ee510,2018,1,1101
134,云南,530000,c06a2a387c0ee510,2018,1,216
135,内蒙古,150000,c06a2a387c0ee510,2018,1,178
136,北京,110000,c06a2a387c0ee510,2018,1,1546
137,四川,510000,c06a2a387c0ee510,2018,1,395
138,安徽,340000,c06a2a387c0ee510,2018,1,359
139,山东,370000,c06a2a387c0ee510,2018,1,1351
140,山西,140000,c06a2a387c0ee510,2018,1,347
141,广东,440000,c06a2a387c0ee510,2018,1,1239
142,广西,450000,c06a2a387c0ee510,2018,1,135
143,江苏,320000,c06a2a387c0ee510,2018,1,1365
144,江西,360000,c06a2a387c0ee510,2018,1,238
145,河北,130000,c06a2a387c0ee510,2018,1,850
146,河南,410000,c06a2a387c0ee510,2018,1,989
147,浙江,330000,c06a2a387c0ee510,2018,1,1072
148,湖北,420000,c06a2a387c0ee510,2018,1,319
149,湖南,430000,c06a2a387c0ee510,2018,1,210
150,福建,350000,c06a2a387c0ee510,2018,1,250
151,辽宁,210000,c06a2a387c0ee510,2018,1,376
152,重庆,500000,c06a2a387c0ee510,2018,1,161
153,陕西,610000,c06a2a387c0ee510,2018,1,376
154,黑龙江,230000,c06a2a387c0ee510,2018,1,280
155,上海,310000,7023efdab9cedc03,2018,1,509
156,云南,530000,7023efdab9cedc03,2018,1,143
157,内蒙古,150000,7023efdab9cedc03,2018,1,55
158,北京,110000,7023efdab9cedc03,2018,1,151
159,四川,510000,7023efdab9cedc03,2018,1,260
160,安徽,340000,7023efdab9cedc03,2018,1,818
161,山东,370000,7023efdab9cedc03,2018,1,430
162,山西,140000,7023efdab9cedc03,2018,1,86
163,广东,440000,7023efdab9cedc03,2018,1,523
164,广西,450000,7023efdab9cedc03,2018,1,133
165,江苏,320000,7023efdab9cedc03,2018,1,1097
166,江西,360000,7023efdab9cedc03,2018,1,269
167,河北,130000,7023efdab9cedc03,2018,1,270
168,河南,410000,7023efdab9cedc03,2018,1,643
169,浙江,330000,7023efdab9cedc03,2018,1,1156
170,湖北,420000,7023efdab9cedc03,2018,1,574
171,湖南,430000,7023efdab9cedc03,2018,1,340
172,福建,350000,7023efdab9cedc03,2018,1,239
173,辽宁,210000,7023efdab9cedc03,2018,1,88
174,重庆,500000,7023efdab9cedc03,2018,1,169
175,陕西,610000,7023efdab9cedc03,2018,1,132
176,黑龙江,230000,7023efdab9cedc03,2018,1,73
177,上海,310000,af6f4f548684e14d,2018,1,1615
178,云南,530000,af6f4f548684e14d,2018,1,492
179,内蒙古,150000,af6f4f548684e14d,2018,1,357
180,北京,110000,af6f4f548684e14d,2018,1,512
181,四川,510000,af6f4f548684e14d,2018,1,1403
182,安徽,340000,af6f4f548684e14d,2018,1,1349
183,山东,370000,af6f4f548684e14d,2018,1,1316
184,山西,140000,af6f4f548684e14d,2018,1,434
185,广东,440000,af6f4f548684e14d,2018,1,1374
186,广西,450000,af6f4f548684e14d,2018,1,346
187,江苏,320000,af6f4f548684e14d,2018,1,1499
188,江西,360000,af6f4f548684e14d,2018,1,1261
189,河北,130000,af6f4f548684e14d,2018,1,769
190,河南,410000,af6f4f548684e14d,2018,1,1469
191,浙江,330000,af6f4f548684e14d,2018,1,1367
192,湖北,420000,af6f4f548684e14d,2018,1,1352
193,湖南,430000,af6f4f548684e14d,2018,1,1346
194,福建,350000,af6f4f548684e14d,2018,1,599
195,辽宁,210000,af6f4f548684e14d,2018,1,423
196,重庆,500000,af6f4f548684e14d,2018,1,531
197,陕西,610000,af6f4f548684e14d,2018,1,405
198,黑龙江,230000,af6f4f548684e14d,2018,1,222
199,上海,310000,7cf283430b3b5e38,2018,1,1266
200,云南,530000,7cf283430b3b5e38,2018,1,698
201,内蒙古,150000,7cf283430b3b5e38,2018,1,409
202,北京,110000,7cf283430b3b5e38,2018,1,230
203,四川,510000,7cf283430b3b5e38,2018,1,1953
204,安徽,340000,7cf283430b3b5e38,2018,1,3197
205,山东,370000,7cf283430b3b5e38,2018,1,4882
206,山西,140000,7cf283430b3b5e38,2018,1,1221
207,广东,440000,7cf283430b3b5e38,2018,1,2305
208,广西,450000,7cf283430b3b5e38,2018,1,956
209,江苏,320000,7cf283430b3b5e38,2018,1,4458
210,江西,360000,7cf283430b3b5e38,2018,1,2561
211,河北,130000,7cf283430b3b5e38,2018,1,3012
212,河南,410000,7cf283430b3b5e38,2018,1,4905
213,浙江,330000,7cf283430b3b5e38,2018,1,3855
214,湖北,420000,7cf283430b3b5e38,2018,1,2699
215,湖南,430000,7cf283430b3b5e38,2018,1,2261
216,福建,350000,7cf283430b3b5e38,2018,1,1261
217,辽宁,210000,7cf283430b3b5e38,2018,1,694
218,重庆,500000,7cf283430b3b5e38,2018,1,568
219,陕西,610000,7cf283430b3b5e38,2018,1,1108
220,黑龙江,230000,7cf283430b3b5e38,2018,1,228
221,上海,310000,d4efbebb087fd03f,2018,1,133
222,云南,530000,d4efbebb087fd03f,2018,1,540
223,内蒙古,150000,d4efbebb087fd03f,2018,1,415
224,北京,110000,d4efbebb087fd03f,2018,1,342
225,四川,510000,d4efbebb087fd03f,2018,1,1005
226,安徽,340000,d4efbebb087fd03f,2018,1,1214
227,山东,370000,d4efbebb087fd03f,2018,1,2738
228,山西,140000,d4efbebb087fd03f,2018,1,1290
229,广东,440000,d4efbebb087fd03f,2018,1,1624
230,广西,450000,d4efbebb087fd03f,2018,1,1189
231,江苏,320000,d4efbebb087fd03f,2018,1,1926
232,江西,360000,d4efbebb087fd03f,2018,1,1112
233,河北,130000,d4efbebb087fd03f,2018,1,2423
234,河南,410000,d4efbebb087fd03f,2018,1,3537
235,浙江,330000,d4efbebb087fd03f,2018,1,2997
236,湖北,420000,d4efbebb087fd03f,2018,1,1176
237,湖南,430000,d4efbebb087fd03f,2018,1,2551
238,福建,350000,d4efbebb087fd03f,2018,1,718
239,辽宁,210000,d4efbebb087fd03f,2018,1,491
240,重庆,500000,d4efbebb087fd03f,2018,1,1021
241,陕西,610000,d4efbebb087fd03f,2018,1,3013
242,黑龙江,230000,d4efbebb087fd03f,2018,1,173
243,上海,310000,7245e0ee27b195cd,2018,1,112
244,云南,530000,7245e0ee27b195cd,2018,1,656
245,内蒙古,150000,7245e0ee27b195cd,2018,1,368
246,北京,110000,7245e0ee27b195cd,2018,1,109
247,四川,510000,7245e0ee27b195cd,2018,1,1395
248,安徽,340000,7245e0ee27b195cd,2018,1,1041
249,山东,370000,7245e0ee27b195cd,2018,1,2088
250,山西,140000,7245e0ee27b195cd,2018,1,1430
251,广东,440000,7245e0ee27b195cd,2018,1,2816
252,广西,450000,7245e0ee27b195cd,2018,1,949
253,江苏,320000,7245e0ee27b195cd,2018,1,1037
254,江西,360000,7245e0ee27b195cd,2018,1,754
255,河北,130000,7245e0ee27b195cd,2018,1,2703
256,河南,410000,7245e0ee27b195cd,2018,1,2375
257,浙江,330000,7245e0ee27b195cd,2018,1,1069
258,湖北,420000,7245e0ee27b195cd,2018,1,689
259,湖南,430000,7245e0ee27b195cd,2018,1,1297
260,福建,350000,7245e0ee27b195cd,2018,1,332
261,辽宁,210000,7245e0ee27b195cd,2018,1,571
262,重庆,500000,7245e0ee27b195cd,2018,1,677
263,陕西,610000,7245e0ee27b195cd,2018,1,1759
264,黑龙江,230000,7245e0ee27b195cd,2018,1,542
265,上海,310000,8c915fe4632fb9fa,2018,1,172
266,云南,530000,8c915fe4632fb9fa,2018,1,1223
267,内蒙古,150000,8c915fe4632fb9fa,2018,1,713
268,北京,110000,8c915fe4632fb9fa,2018,1,141
269,四川,510000,8c915fe4632fb9fa,2018,1,1636
270,安徽,340000,8c915fe4632fb9fa,2018,1,1210
271,山东,370000,8c915fe4632fb9fa,2018,1,2613
272,山西,140000,8c915fe4632fb9fa,2018,1,1165
273,广东,440000,8c915fe4632fb9fa,2018,1,885
274,广西,450000,8c915fe4632fb9fa,2018,1,675
275,江苏,320000,8c915fe4632fb9fa,2018,1,1555
276,江西,360000,8c915fe4632fb9fa,2018,1,1067
277,河北,130000,8c915fe4632fb9fa,2018,1,2598
278,河南,410000,8c915fe4632fb9fa,2018,1,2777
279,浙江,330000,8c915fe4632fb9fa,2018,1,993
280,湖北,420000,8c915fe4632fb9fa,2018,1,1281
281,湖南,430000,8c915fe4632fb9fa,2018,1,1315
282,福建,350000,8c915fe4632fb9fa,2018,1,539
283,辽宁,210000,8c915fe4632fb9fa,2018,1,354
284,重庆,500000,8c915fe4632fb9fa,2018,1,578
285,陕西,610000,8c915fe4632fb9fa,2018,1,1028
286,黑龙江,230000,8c915fe4632fb9fa,2018,1,677
287,上海,310000,6155b214590c66e6,2018,1,543
288,云南,530000,6155b214590c66e6,2018,1,2053
289,内蒙古,150000,6155b214590c66e6,2018,1,1122
290,北京,110000,6155b214590c66e6,2018,1,446
291,四川,510000,6155b214590c66e6,2018,1,3161
292,安徽,340000,6155b214590c66e6,2018,1,2962
293,山东,370000,6155b214590c66e6,2018,1,4713
294,山西,140000,6155b214590c66e6,2018,1,1061
295,广东,440000,6155b214590c66e6,2018,1,3583
296,广西,450000,6155b214590c66e6,2018,1,688
297,江苏,320000,6155b214590c66e6,2018,1,3109
298,江西,360000,6155b214590c66e6,2018,1,1723
299,河北,130000,6155b214590c66e6,2018,1,3865
300,河南,410000,6155b214590c66e6,2018,1,5850
301,浙江,330000,6155b214590c66e6,2018,1,4592
302,湖北,420000,6155b214590c66e6,2018,1,2181
303,湖南,430000,6155b214590c66e6,2018,1,2650
304,福建,350000,6155b214590c66e6,2018,1,1102
305,辽宁,210000,6155b214590c66e6,2018,1,1405
306,重庆,500000,6155b214590c66e6,2018,1,1375
307,陕西,610000,6155b214590c66e6,2018,1,1904
308,黑龙江,230000,6155b214590c66e6,2018,1,812
309,上海,310000,28e29f2c03dcd84c,2018,1,743
310,云南,530000,28e29f2c03dcd84c,2018,1,443
311,内蒙古,150000,28e29f2c03dcd84c,2018,1,462
312,北京,110000,28e29f2c03dcd84c,2018,1,1114
313,四川,510000,28e29f2c03dcd84c,2018,1,704
314,安徽,340000,28e29f2c03dcd84c,2018,1,997
315,山东,370000,28e29f2c03dcd84c,2018,1,1249
316,山西,140000,28e29f2c03dcd84c,2018,1,752
317,广东,440000,28e29f2c03dcd84c,2018,1,588
318,广西,450000,28e29f2c03dcd84c,2018,1,144
319,江苏,320000,28e29f2c03dcd84c,2018,1,1762
320,江西,360000,28e29f2c03dcd84c,2018,1,356
321,河北,130000,28e29f2c03dcd84c,2018,1,1641
322,河南,410000,28e29f2c03dcd84c,2018,1,1167
323,浙江,330000,28e29f2c03dcd84c,2018,1,768
324,湖北,420000,28e29f2c03dcd84c,2018,1,321
325,湖南,430000,28e29f2c03dcd84c,2018,1,440
326,福建,350000,28e29f2c03dcd84c,2018,1,239
327,辽宁,210000,28e29f2c03dcd84c,2018,1,216
328,重庆,500000,28e29f2c03dcd84c,2018,1,434
329,陕西,610000,28e29f2c03dcd84c,2018,1,567
330,黑龙江,230000,28e29f2c03dcd84c,2018,1,128
331,上海,310000,37aa9169b575ef79,2018,1,93
332,云南,530000,37aa9169b575ef79,2018,1,1617
333,内蒙古,150000,37aa9169b575ef79,2018,1,1152
334,北京,110000,37aa9169b575ef79,2018,1,362
335,四川,510000,37aa9169b575ef79,2018,1,2843
336,安徽,340000,37aa9169b575ef79,2018,1,601
337,山东,370000,37aa9169b575ef79,2018,1,3164
338,山西,140000,37aa9169b575ef79,2018,1,1839
339,广东,440000,37aa9169b575ef79,2018,1,1865
340,广西,450000,37aa9169b575ef79,2018,1,433
341,江苏,320000,37aa9169b575ef79,2018,1,969
342,江西,360000,37aa9169b575ef79,2018,1,570
343,河北,130000,37aa9169b575ef79,2018,1,3260
344,河南,410000,37aa9169b575ef79,2018,1,1966
345,浙江,330000,37aa9169b575ef79,2018,1,684
346,湖北,420000,37aa9169b575ef79,2018,1,564
347,湖南,430000,37aa9169b575ef79,2018,1,1424
348,福建,350000,37aa9169b575ef79,2018,1,548
349,辽宁,210000,37aa9169b575ef79,2018,1,2005
350,重庆,500000,37aa9169b575ef79,2018,1,365
351,陕西,610000,37aa9169b575ef79,2018,1,727
352,黑龙江,230000,37aa9169b575ef79,2018,1,1779
353,上海,310000,63065128401bb3ff,2018,1,1691
354,云南,530000,63065128401bb3ff,2018,1,2176
355,内蒙古,150000,63065128401bb3ff,2018,1,1026
356,北京,110000,63065128401bb3ff,2018,1,405
357,四川,510000,63065128401bb3ff,2018,1,4233
358,安徽,340000,63065128401bb3ff,2018,1,3845
359,山东,370000,63065128401bb3ff,2018,1,5897
360,山西,140000,63065128401bb3ff,2018,1,2209
361,广东,440000,63065128401bb3ff,2018,1,1763
362,广西,450000,63065128401bb3ff,2018,1,944
363,江苏,320000,63065128401bb3ff,2018,1,6694
364,江西,360000,63065128401bb3ff,2018,1,2828
365,河北,130000,63065128401bb3ff,2018,1,6810
366,河南,410000,63065128401bb3ff,2018,1,8579
367,浙江,330000,63065128401bb3ff,2018,1,3589
368,湖北,420000,63065128401bb3ff,2018,1,2449
369,湖南,430000,63065128401bb3ff,2018,1,3432
370,福建,350000,63065128401bb3ff,2018,1,1101
371,辽宁,210000,63065128401bb3ff,2018,1,1233
372,重庆,500000,63065128401bb3ff,2018,1,1796
373,陕西,610000,63065128401bb3ff,2018,1,1265
374,黑龙江,230000,63065128401bb3ff,2018,1,448
375,上海,310000,ea489c253676aafc,2018,1,440
376,云南,530000,ea489c253676aafc,2018,1,1424
377,内蒙古,150000,ea489c253676aafc,2018,1,1655
378,北京,110000,ea489c253676aafc,2018,1,226
379,四川,510000,ea489c253676aafc,2018,1,1214
380,安徽,340000,ea489c253676aafc,2018,1,2458
381,山东,370000,ea489c253676aafc,2018,1,8425
382,山西,140000,ea489c253676aafc,2018,1,3724
383,广东,440000,ea489c253676aafc,2018,1,522
384,广西,450000,ea489c253676aafc,2018,1,303
385,江苏,320000,ea489c253676aafc,2018,1,2005
386,江西,360000,ea489c253676aafc,2018,1,645
387,河北,130000,ea489c253676aafc,2018,1,9158
388,河南,410000,ea489c253676aafc,2018,1,4259
389,浙江,330000,ea489c253676aafc,2018,1,1064
390,湖北,420000,ea489c253676aafc,2018,1,440
391,湖南,430000,ea489c253676aafc,2018,1,657
392,福建,350000,ea489c253676aafc,2018,1,324
393,辽宁,210000,ea489c253676aafc,2018,1,1479
394,重庆,500000,ea489c253676aafc,2018,1,489
395,陕西,610000,ea489c253676aafc,2018,1,1161
396,黑龙江,230000,ea489c253676aafc,2018,1,992
397,上海,310000,cd5841d44fd7625e,2018,1,262
398,云南,530000,cd5841d44fd7625e,2018,1,582
399,内蒙古,150000,cd5841d44fd7625e,2018,1,539
400,北京,110000,cd5841d44fd7625e,2018,1,1089
401,四川,510000,cd5841d44fd7625e,2018,1,818
402,安徽,340000,cd5841d44fd7625e,2018,1,640
403,山东,370000,cd5841d44fd7625e,2018,1,1706
404,山西,140000,cd5841d44fd7625e,2018,1,481
405,广东,440000,cd5841d44fd7625e,2018,1,1019
406,广西,450000,cd5841d44fd7625e,2018,1,283
407,江苏,320000,cd5841d44fd7625e,2018,1,1294
408,江西,360000,cd5841d44fd7625e,2018,1,264
409,河北,130000,cd5841d44fd7625e,2018,1,2023
410,河南,410000,cd5841d44fd7625e,2018,1,1727
411,浙江,330000,cd5841d44fd7625e,2018,1,833
412,湖北,420000,cd5841d44fd7625e,2018,1,574
413,湖南,430000,cd5841d44fd7625e,2018,1,473
414,福建,350000,cd5841d44fd7625e,2018,1,412
415,辽宁,210000,cd5841d44fd7625e,2018,1,717
416,重庆,500000,cd5841d44fd7625e,2018,1,411
417,陕西,610000,cd5841d44fd7625e,2018,1,689
418,黑龙江,230000,cd5841d44fd7625e,2018,1,861
419,上海,310000,b25c4e2e3856af22,2018,1,421
420,云南,530000,b25c4e2e3856af22,2018,1,352
421,内蒙古,150000,b25c4e2e3856af22,2018,1,76
422,北京,110000,b25c4e2e3856af22,2018,1,153
423,四川,510000,b25c4e2e3856af22,2018,1,373
424,安徽,340000,b25c4e2e3856af22,2018,1,583
425,山东,370000,b25c4e2e3856af22,2018,1,633
426,山西,140000,b25c4e2e3856af22,2018,1,42
427,广东,440000,b25c4e2e3856af22,2018,1,1061
428,广西,450000,b25c4e2e3856af22,2018,1,216
429,江苏,320000,b25c4e2e3856af22,2018,1,624
430,江西,360000,b25c4e2e3856af22,2018,1,439
431,河北,130000,b25c4e2e3856af22,2018,1,530
432,河南,410000,b25c4e2e3856af22,2018,1,307
433,浙江,330000,b25c4e2e3856af22,2018,1,546
434,湖北,420000,b25c4e2e3856af22,2018,1,189
435,湖南,430000,b25c4e2e3856af22,2018,1,566
436,福建,350000,b25c4e2e3856af22,2018,1,357
437,辽宁,210000,b25c4e2e3856af22,2018,1,130
438,重庆,500000,b25c4e2e3856af22,2018,1,159
439,陕西,610000,b25c4e2e3856af22,2018,1,175
440,黑龙江,230000,b25c4e2e3856af22,2018,1,134
441,上海,310000,4a103c30d593fbbe,2018,1,682
442,云南,530000,4a103c30d593fbbe,2018,1,961
443,内蒙古,150000,4a103c30d593fbbe,2018,1,893
444,北京,110000,4a103c30d593fbbe,2018,1,392
445,四川,510000,4a103c30d593fbbe,2018,1,3433
446,安徽,340000,4a103c30d593fbbe,2018,1,2229
447,山东,370000,4a103c30d593fbbe,2018,1,2808
448,山西,140000,4a103c30d593fbbe,2018,1,701
449,广东,440000,4a103c30d593fbbe,2018,1,1948
450,广西,450000,4a103c30d593fbbe,2018,1,352
451,江苏,320000,4a103c30d593fbbe,2018,1,3803
452,江西,360000,4a103c30d593fbbe,2018,1,882
453,河北,130000,4a103c30d593fbbe,2018,1,4220
454,河南,410000,4a103c30d593fbbe,2018,1,3715
455,浙江,330000,4a103c30d593fbbe,2018,1,3279
456,湖北,420000,4a103c30d593fbbe,2018,1,1296
457,湖南,430000,4a103c30d593fbbe,2018,1,1001
458,福建,350000,4a103c30d593fbbe,2018,1,1030
459,辽宁,210000,4a103c30d593fbbe,2018,1,968
460,重庆,500000,4a103c30d593fbbe,2018,1,645
461,陕西,610000,4a103c30d593fbbe,2018,1,1199
462,黑龙江,230000,4a103c30d593fbbe,2018,1,909
463,上海,310000,7a7885e2d7c00bcf,2018,1,1062
464,云南,530000,7a7885e2d7c00bcf,2018,1,351
465,内蒙古,150000,7a7885e2d7c00bcf,2018,1,305
466,北京,110000,7a7885e2d7c00bcf,2018,1,795
467,四川,510000,7a7885e2d7c00bcf,2018,1,765
468,安徽,340000,7a7885e2d7c00bcf,2018,1,900
469,山东,370000,7a7885e2d7c00bcf,2018,1,1930
470,山西,140000,7a7885e2d7c00bcf,2018,1,280
471,广东,440000,7a7885e2d7c00bcf,2018,1,857
472,广西,450000,7a7885e2d7c00bcf,2018,1,225
473,江苏,320000,7a7885e2d7c00bcf,2018,1,2237
474,江西,360000,7a7885e2d7c00bcf,2018,1,375
475,河北,130000,7a7885e2d7c00bcf,2018,1,1648
476,河南,410000,7a7885e2d7c00bcf,2018,1,1349
477,浙江,330000,7a7885e2d7c00bcf,2018,1,1842
478,湖北,420000,7a7885e2d7c00bcf,2018,1,487
479,湖南,430000,7a7885e2d7c00bcf,2018,1,467
480,福建,350000,7a7885e2d7c00bcf,2018,1,403
481,辽宁,210000,7a7885e2d7c00bcf,2018,1,412
482,重庆,500000,7a7885e2d7c00bcf,2018,1,148
483,陕西,610000,7a7885e2d7c00bcf,2018,1,415
484,黑龙江,230000,7a7885e2d7c00bcf,2018,1,406
485,上海,310000,346393c2c6305fb1,2018,1,72
486,云南,530000,346393c2c6305fb1,2018,1,75
487,内蒙古,150000,346393c2c6305fb1,2018,1,58
488,北京,110000,346393c2c6305fb1,2018,1,99
489,四川,510000,346393c2c6305fb1,2018,1,247
490,安徽,340000,346393c2c6305fb1,2018,1,596
491,山东,370000,346393c2c6305fb1,2018,1,1017
492,山西,140000,346393c2c6305fb1,2018,1,256
493,广东,440000,346393c2c6305fb1,2018,1,148
494,广西,450000,346393c2c6305fb1,2018,1,128
495,江苏,320000,346393c2c6305fb1,2018,1,342
496,江西,360000,346393c2c6305fb1,2018,1,143
497,河北,130000,346393c2c6305fb1,2018,1,840
